iter	Passed	Remaining
0	138	13733
1	141	6917
2	144	4678
3	146	3519
4	148	2829
5	151	2372
6	153	2041
7	155	1790
8	158	1603
9	160	1444
10	162	1315
11	166	1218
12	168	1127
13	170	1046
14	172	975
15	174	914
16	176	860
17	178	812
18	180	768
19	181	727
20	183	689
21	185	656
22	186	625
23	188	597
24	190	572
25	192	547
26	194	525
27	196	504
28	197	484
29	199	465
30	201	448
31	203	431
32	205	416
33	207	402
34	209	388
35	210	374
36	212	361
37	214	349
38	216	337
39	217	326
40	219	315
41	219	303
42	221	293
43	222	283
44	224	274
45	226	265
46	227	256
47	229	248
48	231	240
49	232	232
50	234	225
51	235	217
52	237	210
53	238	203
54	239	196
55	241	189
56	243	183
57	244	177
58	246	171
59	248	165
60	249	159
61	251	154
62	252	148
63	254	143
64	256	137
65	257	132
66	259	127
67	261	123
68	263	118
69	264	113
70	266	108
71	267	104
72	269	99
73	271	95
74	272	90
75	274	86
76	275	82
77	277	78
78	278	74
79	280	70
80	282	66
81	283	62
82	285	58
83	287	54
84	288	50
85	291	47
86	293	43
87	294	40
88	296	36
89	298	33
90	299	29
91	301	26
92	303	22
93	304	19
94	306	16
95	307	12
96	309	9
97	310	6
98	311	3
99	312	0
